sentencea,sentenceb,if_sentence_a_is_true_then,to_what_extent_are_the_two_sentences_expressing_a_related_meaning,to_what_extent__are_the_two_sentences_expressing_a_related_meaning:variance
a girl is on a jumping car,one girl is jumping on the car,sentence b is true,4.2,0.98
a man is scared,a man is crying,sentence b cannot be said to be true or false,3.8,0.4
there is no milk being drunk by a cat,a kitten is drinking fresh milk,sentence b is false,4.2,0.4
a young girl is jumping into a still lake,a young boy is jumping into a still lake,sentence b cannot be said to be true or false,4,1.095
two men are walking through a river,two men are walking through the water,sentence b is true,4.6,0.49
a woman is collecting tap water in a mug,a boy is filling a pitcher with water,sentence b cannot be said to be true or false,2.2,0.98
a boy is jumping off a platform and two other boys are standing and staring at him,a boy is jumping off a platform and two other boys are standing and watching,sentence b is true,4.8,0.4
a person is severing the toe of an empty leather boot with a sword,a man is cutting a boot with a sword,sentence b is true,4.4,0.49
an asian woman in a crowd is not carrying a black bag,an asian woman in a crowd is carrying a black bag,sentence b is false,4.4,0.8
an animal is biting a person's finger,a lemur is biting a person's finger,sentence b cannot be said to be true or false,4,1.095
the women are not dancing outside,a group of people are dancing,sentence b cannot be said to be true or false,4.2,0.748
the person is peeling an onion,the person is slicing onions,sentence b is false,4.4,0.8
the air is tricking a performing cyclist,the cyclist is performing a trick in the air,sentence b cannot be said to be true or false,2.8,0.4
rollerbladers are rolling in formation down a hill,a group of rollerbladers is lining up on the street,sentence b cannot be said to be true or false,3.6,0.8
a black person is running along a white stand and a dog barks behind him,the black and white dog is running and a person stands behind it,sentence b cannot be said to be true or false,3.2,1.166
people are walking through a street which is crowded,a man and a woman are walking down a city street,sentence b cannot be said to be true or false,3.6,0.49
there is no white dog with beige spots running through a field,a tan dog is running through the brush,sentence b cannot be said to be true or false,3,1.095
a dog on a leash is walking in the water,a black dog on a leash is walking in the water,sentence b cannot be said to be true or false,4.6,0.49
a man and a woman are not shaking hands,an old woman is shaking hands with a man,sentence b is false,4.4,0.49
the man is playing the drums,a man is pouring cleaner into the sink,sentence b cannot be said to be true or false,1,0
two white dogs are not running together,two white puppies are playing near a pool,sentence b cannot be said to be true or false,3.2,1.47
a blonde man is hanging by gymnastic ropes,a blonde girl is hanging by gymnastic ropes,sentence b cannot be said to be true or false,3.8,0.98
a man in gold and purple is holding a rainbow afghan,a girl in gold and purple is holding a rainbow afghan,sentence b cannot be said to be true or false,3.8,1.47
the bunch of men are not playing rugby on a muddy field,the bunch of men are playing rugby on a muddy field,sentence b is false,3.8,1.6
two little boys are not wearing tuxedos,two small boys dressed in tuxedos are sitting on a red carpeted floor,sentence b is false,3.4,1.2
a father is launching the daughter in a swimming pool,there is no biker jumping in the air,sentence b cannot be said to be true or false,1.2,0.4
there is no man playing a keyboard,a person is playing the keyboard,sentence b is false,4.4,0.8
a podium is where a man is speaking,a man is speaking on a podium,sentence b is true,5,0
five people are running with three dogs in the green field beside the road,five people are standing in the grass with three dogs,sentence b is false,4,0
a girl is brushing her hair,a girl is brushing her hair,sentence b is true,5,0
few people are eating at red tables in a restaurant without lights,a large group of asian people is eating at a restaurant,sentence b cannot be said to be true or false,3.4,0.49
the chef is carefully drying the oil from the pan,a man is pouring liquid into a pot,sentence b cannot be said to be true or false,2.4,1.02
the football is between the feet of a boy who is lying on the grass,the little kid is playing football and falling into the grass,sentence b cannot be said to be true or false,4,0
a girl has black and orange patches on the cheeks,a girl is standing in a group and is wearing a black shirt and pink beads,sentence b cannot be said to be true or false,2,0.894
a walker is in a hat store for men,the man in a cowboy hat is walking through a market and is putting a hand in his pocket,sentence b cannot be said to be true or false,2.4,1.02
a yellow flower is being clung to by a bee,one woman is peeling a potato,sentence b cannot be said to be true or false,1,0
a pitcher is being filled with water by a boy,a boy is filling a pitcher with water,sentence b is true,5,0
a couple is looking at a street guide,a couple is looking at a map,sentence b is true,4.6,0.49
a dog is looking at a piece of furniture in a shop,a dog is looking around,sentence b cannot be said to be true or false,4.4,0.49
"the people are walking on the road beside a waterfall, which is beautiful",a waterfall is flowing into a shallow pool,sentence b cannot be said to be true or false,3.2,0.748
a child with dark hair is going down a slide and throwing up his arms,a young girl with a heart tank top is raising her hands as she is sliding,sentence b cannot be said to be true or false,4.4,0.8
an animal is being ridden by a woman,a woman is riding a horse,sentence b cannot be said to be true or false,4.2,0.748
a girl in a black hat is standing topless at the beach,a girl in a black hat is wearing a bikini at the beach,sentence b is false,4.4,0.8
a young boy in the blue shirt is jumping into the water,the young boy in the blue shirt is jumping into the water,sentence b is true,4.8,0.4
a person is cooking some food,a person is peeling a potato,sentence b cannot be said to be true or false,3.2,0.748
the animal with big eyes is voraciously eating,a lemur is eating,sentence b cannot be said to be true or false,4.2,0.4
butter is being chopped into a container by a man,a man is chopping butter into a container,sentence b is true,5,0
there is no child holding a camera in front of his face,a child is holding a camera in front of his face,sentence b is false,4.4,0.8
there is no famous singer dancing on the ceiling,a man is dancing on the ceiling,sentence b cannot be said to be true or false,3.4,1.356
one girl is jumping on the car,the girl is recklessly jumping onto a car,sentence b cannot be said to be true or false,4.4,0.49
a biker is naked,a biker is wearing gear which is black,sentence b is false,3.83,1.067
a karate practitioner is kicking at another man who is wearing protective gloves for boxing,the man is kick boxing with a trainer,sentence b cannot be said to be true or false,4,0.632
the woman is wearing a colorful shirt and a lot of jewelry,a woman is wearing a colorful shirt and a lot of jewelry,sentence b is true,5,0
"there is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling","a young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",sentence b is false,4.4,0.8
two men are standing near the water and are holding tools used for fishing,two men are holding fishing poles,sentence b cannot be said to be true or false,4.2,0.4
a man isn't tossing a kid into the swimming pool that is near the ocean,a father is launching the daughter in a swimming pool,sentence b cannot be said to be true or false,3.2,1.166
a man with indian clothing and henna on his hand is going through paperwork,a woman is wearing a colorful shirt and a lot of jewelry,sentence b cannot be said to be true or false,1.4,0.49
the man is putting away the camera and walks away from the beach,a man is taking pictures of a lake,sentence b cannot be said to be true or false,2,1.095
two people are driving a jeep and a girl is sitting on the top of it,two people are driving a jeep and a lady is sitting on the top of it,sentence b is true,4.6,0.8
there is no woman preparing an egg in a skillet,a woman is preparing an egg in a skillet,sentence b is false,4.6,0.49
music is being performed by four people outdoors,four people are performing music outdoors,sentence b is true,4.8,0.4
a girl with a bikini is playing in the sand,a young girl in a bikini is jumping on the beach,sentence b cannot be said to be true or false,3.6,1.356
no girl with a bikini is playing in the dunes,a girl with a bikini is playing in the dunes,sentence b is false,4.6,0.8
there is no woman mixing eggs,a woman is mixing eggs,sentence b is false,3.8,1.47
the man is not playing the guitar,a man is playing a flute,sentence b cannot be said to be true or false,3.4,1.356
the brown dog is running in the snow,a dog is running through the snow,sentence b is true,4.8,0.4
a person is sitting in a field and is wearing a hat,a person is wearing a hat and is sitting on the grass,sentence b cannot be said to be true or false,4.6,0.49
there is no woman chopping up an octopus,a woman is chopping up an octopus,sentence b is false,4,1.549
a white bird is landing swiftly in the water,a boy is happily playing the piano,sentence b cannot be said to be true or false,1,0
rugby players are tackling each other,a soccer player is being tackled by his opponent,sentence b cannot be said to be true or false,2,1.265
a girl is wearing a t-shirt and has her mouth open.,"a girl from asia, in front of a brick window, looks surprised",sentence b cannot be said to be true or false,3.4,1.2
a man is walking along a track through a wilderness,a man is walking along a path through a wilderness,sentence b is true,4.8,0.4
some students in uniforms are listening attentively at the front of the class,a classroom full of students is looking in the same direction inside a bamboo structure,sentence b cannot be said to be true or false,3,0
there is no parrot speaking,the parrot is talking into the microphone,sentence b is false,4,1.549
the white bird is landing swiftly in the water,a large white crane is flying near the water,sentence b cannot be said to be true or false,3.4,1.356
a person with a red hooded jacket and a black backpack is moving near a rocky wall,a person with a red hooded jacket and a black backpack is walking near a rocky wall,sentence b is true,5,0
a tomato is being sliced by a woman,a woman is slicing a tomato,sentence b is true,5,0
an animal is biting a person's finger,an animal is biting someone's finger,sentence b is true,5,0
there is no man being hit,a boy is whacking a man with a sword,sentence b is false,2.8,1.6
the dog is licking the baby,a dog is licking a baby,sentence b is true,5,0
dirt bikers are riding on a trail,two people are riding motorbikes,sentence b cannot be said to be true or false,4,0.632
a man in a red jacket and khaki pants is walking through an european state,a man in a red jacket and khaki pants is walking through an american state,sentence b is false,4.4,1.2
a guitar is being played by a boy,a boy is playing guitar,sentence b is true,5,0
a woman is dipping a prawn in batter,a man is driving a car,sentence b cannot be said to be true or false,1,0
there is no woman playing with two young boys at a park,a woman is standing near three children,sentence b cannot be said to be true or false,2,0.632
a man is riding a dirt bike down a dirt hill,a person is riding a bike along a muddy trail,sentence b cannot be said to be true or false,4.2,0.4
people are sitting around a bonfire at night,people are clustered around a bonfire at night,sentence b is true,4.8,0.4
"a dog, which is small, is playing on the green grass",a dog is near the red ball in the air,sentence b cannot be said to be true or false,2.8,1.47
a girl is jumping rope on a sidewalk near a parking garage,a girl is skipping rope on a sidewalk,sentence b is true,4.6,0.49
one young lady is jumping on the car,one girl is jumping on the car,sentence b is true,5,0
there is no biker jumping in the air,a man is jumping into an empty pool,sentence b cannot be said to be true or false,1.2,0.4
a boy of young age is playing in the park with his mother,a boy in blue is running away from a woman in blue,sentence b cannot be said to be true or false,3.4,1.2
two men with a dog are boring a crowd of people,boys are dancing in front of some people,sentence b cannot be said to be true or false,2.2,1.47
few men like pouring tomato oil,the man is pouring oil on a few tomatoes,sentence b cannot be said to be true or false,4.2,0.4
a man is having fun with water,a man is doing a card trick,sentence b cannot be said to be true or false,1,0
a homeless man is holding up a sign and is begging for money,there is no man cutting a box,sentence b cannot be said to be true or false,1,0
the piano player is being a tough man,a boy is happily playing the piano,sentence b cannot be said to be true or false,2.6,1.2
the man is riding a horse by a stream,a man is riding a horse,sentence b is true,4.6,0.49
a pianist is playing the keyboard,a person is playing the keyboard,sentence b is true,4.4,0.8
a big dog and a small dog with a white coat are playing together,two dogs are playing together on the grass,sentence b cannot be said to be true or false,4,0.894
a topless person with a back pack is in front of a pile of rocks and clouds are in the background,the man is standing on a rocky mountain and gray clouds are in the background,sentence b cannot be said to be true or false,3.4,1.02
two children are playing soccer in the park,there is no white dog wearing a christmas reindeer headband and playing with a brown dog in the grass,sentence b cannot be said to be true or false,1,0
people are walking inside a building that has many murals on it,people are walking outside a building that has many murals on it,sentence b cannot be said to be true or false,3.8,0.98
the snowboarder is jumping off a snow covered hill,the person is not standing on white ice,sentence b cannot be said to be true or false,1,0
the drums are being played by a man,a man is playing the guitar,sentence b cannot be said to be true or false,2.8,0.98
a man is playing an instrument,a woman is playing the flute,sentence b cannot be said to be true or false,2.4,1.02
eggs are being strongly whisked in a bowl by a person,a woman is beating two eggs in a bowl and using a whisk made of wire,sentence b cannot be said to be true or false,4.6,0.49
a woman is not cutting broccoli,a woman is cutting broccoli,sentence b is false,3.8,1.6
two sumo wrestlers are fighting,a man is riding a water toy in the water,sentence b cannot be said to be true or false,1,0
a tan dog which is dirty is rolling in the dirt and looking right at the camera,a dog is rolling on the ground,sentence b is true,4.4,1.2
a person is dancing,a woman is exercising,sentence b cannot be said to be true or false,3.2,0.748
a man is not rock climbing and a city and a bay are in the background,"a man is rock climbing, pausing and calculating the route",sentence b cannot be said to be true or false,3.2,1.166
a man is planting a tree,a man is picking up a tree,sentence b is false,4.4,0.49
a girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,a young oriental girl is standing above the crowd and is playing with a pinwheel,sentence b cannot be said to be true or false,2,1.549
two dogs are looking at something that is moving in the water,two dogs are looking at something that is splashing in the water,sentence b is true,4.6,0.49
there is no woman slicing an onion,a woman is slicing an onion,sentence b is false,4.6,0.49
there is no woman putting on lipstick,a woman is putting on lipstick,sentence b is false,5,0
a man is removing vegetables from a pot,someone is pouring ingredients into a pot,sentence b cannot be said to be true or false,2.8,0.98
"a woman, who is young and asian, with gloves colored in pink, is standing in the snow",a female wearing pink gloves and a brown jacket is smiling in the snow,sentence b cannot be said to be true or false,3.8,0.748
one small child is greedily drinking water from the cup,the kitten is eagerly drinking some milk from the bowl,sentence b cannot be said to be true or false,1.8,0.748
a girl dressed in purple and blue is walking beside her bike at night,a woman in a purple top is walking a bicycle between two stone columns,sentence b cannot be said to be true or false,3.2,1.166
a man is being pushed toward the buttons of a microwave,a man is pushing the buttons of a microwave,sentence b cannot be said to be true or false,3.4,0.8
two black puppies are playing near a pool,two white dogs are running together,sentence b cannot be said to be true or false,1.6,1.2
the black dog is not running through the grass,the black dog is walking through the tall grass,sentence b cannot be said to be true or false,4.8,0.4
a boy and a girl are playing on the outdoor gym,some children are playing on a playground,sentence b is true,4.2,0.748
the boy is trotting on the horse,the girl is trotting on the horse,sentence b cannot be said to be true or false,3.4,1.2
three people are walking across a rope and steel bridge over a river,people are walking across a rope bridge over a rocky stream,sentence b is true,3.8,0.4
two dogs are playing inside,two brown and white dogs are fighting on a grassy area in front of a tree,sentence b cannot be said to be true or false,2.6,1.02
a person is shirtless and is putting down the beer,a person is wearing a red jacket and holding a beer,sentence b is false,2.6,1.356
some bamboo is being eaten by a panda bear,a panda bear is eating some bamboo,sentence b is true,4.8,0.4
two men are standing near the water and are holding fishing poles,two men are holding fishing poles,sentence b is true,4.6,0.49
the woman is using a sledgehammer to break a concrete block that is on another man,a man is breaking a slab of concrete with a sledge hammer,sentence b cannot be said to be true or false,3,1.095
the man in blue is posing for a picture next to a vehicle,the man in blue is posing for a picture next to a car,sentence b is true,4.6,0.49
"a woman, who is old, is near a dog that has a white coat","a woman, who is old, is near a white dog",sentence b is true,5,0
a dog with a golden coat is walking out of the water,a dog with a golden coat is swimming through the water,sentence b cannot be said to be true or false,4,0.632
a dog is jumping at dry leaves in a field of shiny blue soccer balls,a little black dog is wearing a red collar and is in the leaves with a blue ball,sentence b cannot be said to be true or false,4,0.632
the man is lowering barbells,the man is lifting weights,sentence b cannot be said to be true or false,4,0
a man is moving gracefully,a man is walking outside,sentence b cannot be said to be true or false,3.6,0.8
a woman is placing two eggs into a pot of water,a woman is boiling eggs,sentence b is true,4.6,0.49
a woman is slicing a pepper which is green,the woman with a knife is slicing a pepper,sentence b is true,4.6,0.49
the woman is not poking holes in the potato,the woman is poking a potato,sentence b is false,3.2,1.6
the woman is not stirring meat in a bowl,a lady is mixing a meat mixture in a bowl,sentence b is false,4.2,0.4
a young girl is standing on one leg,a young girl is dancing,sentence b cannot be said to be true or false,2.8,0.98
a young boy wearing a red swimsuit is jumping into a blue kiddies pool,a boy wearing red shorts is jumping into a paddling pool,sentence b cannot be said to be true or false,4.2,0.748
a man is speaking about the stage,a man is speaking on a podium,sentence b cannot be said to be true or false,4,0.632
a nearby throng of people are kissing two by two,a woman is being kissed by a man,sentence b cannot be said to be true or false,3.8,0.748
"a dog next to a tree, which is probably a pine, is biting a bucket","a dog next to a tree, which is probably a pine, is biting a bucket",sentence b is true,5,0
the malnourished looking dog is standing on its hind legs and is preparing to jump,a brown dog is jumping in the air,sentence b cannot be said to be true or false,3,1.265
a person on a yellow clean bike is taking a jump,a cyclist on a yellow bike is airborne,sentence b is true,4.4,0.49
the man isn't operating a stenograph,the man is operating a stenograph,sentence b is false,3.6,1.497
the guitar is being played by a man,a man is playing the guitar,sentence b is true,5,0
the man is putting away the guitar in the guitar case,the man is playing the guitar and has the guitar case open for donations,sentence b is false,3.4,1.356
two men are doing a funny skit with a boxer in front of a crowd of people,boys are dancing in front of some people,sentence b cannot be said to be true or false,2.4,1.02
there is no man squirting water into the mouth of a white dog with a squirt gun,a man is spraying a super soaker into the mouth of a dog,sentence b is false,3.2,1.166
the dog is catching a ball,a dog is chasing a ball through dirt,sentence b cannot be said to be true or false,4.2,0.4
the panda bear is resting on the logs,the panda bear is lying on the logs,sentence b is true,4.8,0.4
two people are sitting on a park bench on a hot day,two women dressed in white and black are sitting on a bench,sentence b cannot be said to be true or false,4,0.632
the boy is not cutting the grass by the curb with scissors,the boy is cutting the grass by the curb with scissors,sentence b is false,4.8,0.4
a person is riding a bike along a muddy trail,a person is riding a dirt bike down a dirt hill,sentence b cannot be said to be true or false,3.2,1.327
a talented man is playing the guitar,a man is playing a guitar,sentence b is true,4.8,0.4
a woman is standing with a pair of dogs,a woman is showing a dog with very long hair at a dog show,sentence b cannot be said to be true or false,3.6,0.8
a person in the gear used for biking is standing steadily in front of the mountains,a group of people is equipped with protective gear,sentence b cannot be said to be true or false,2.4,1.2
there is no woman peeling a potato,a woman is peeling a potato,sentence b is false,4.2,1.166
the person is riding the animal,a man is riding a horse,sentence b cannot be said to be true or false,4.4,0.49
two men are racing in a tire rolling competition,two people in a race are flipping the tires of a tractor,sentence b cannot be said to be true or false,4,0.632
a couple is standing on a patio and looking at the sky,a couple is sitting on a patio and looking at the ocean,sentence b is false,3.8,1.47
a woman is peeling food,a man is passionately playing a guitar in front of an audience,sentence b cannot be said to be true or false,1.2,0.4
a girl dressed in purple and blue is slowly walking beside her bike at night,a woman in a purple top is walking a bicycle between two stone columns,sentence b cannot be said to be true or false,3.4,0.8
a woman is cutting an onion,a man is cutting onions,sentence b cannot be said to be true or false,3.4,0.8
a man is doing exercise,a girl is exercising,sentence b cannot be said to be true or false,3.2,1.166
a group of explorers are walking through the grass,a group of scouts are hiking through the grass,sentence b cannot be said to be true or false,4,0
the person is playing with a skull,the man is playing with a skull,sentence b cannot be said to be true or false,4.6,0.49
there is no dog eating a doll,a dog is playing with a toy,sentence b cannot be said to be true or false,3,1.095
the man is doing exercises in a gym,the man is exercising,sentence b is true,4.8,0.4
an animal is jumping at a shiny blue soccer ball in a field of dry leaves,a little black dog is wearing a red collar and is in the leaves with a blue ball,sentence b cannot be said to be true or false,4.2,0.4
two poodles are in the snow and one is jumping high,two crocodiles are floating in a green colored swimming pool near some playing kids,sentence b cannot be said to be true or false,1.2,0.4
the teens are talking to a boy and a girl with a webcam,one man is talking to a girl with an internet camera,sentence b cannot be said to be true or false,3.2,1.166
there is no tiger cub making a sound,a tiger cub is making a sound,sentence b is false,4.6,0.49
there is no man walking in the rain,a man is walking in the rain,sentence b is false,4,1.549
a man is playing an electric guitar,a man is playing a guitar,sentence b is true,5,0
the man isn't smearing butter on bread ,a man is spreading butter on a piece of bread which is big,sentence b is false,3.8,1.166
two children are not playing in the surf,two children are playing in the surf,sentence b is false,4.2,0.748
there is no man cutting a paper plate,a man is cutting a paper plate,sentence b is false,4.8,0.4
a young occidental girl is standing above the crowd and is playing with a pinwheel,a young oriental girl is standing above the crowd and is playing with a pinwheel,sentence b cannot be said to be true or false,4.8,0.4
a baby is splashing inside a blue paddling pool,a toddler is making a splash inside a blue paddling pool,sentence b is true,4.6,0.49
no person is hiking,a distant person with a blue backpack is hiking in rocky area,sentence b is false,4.4,0.8
a man is tanking on a stage in front of a crowd,a man is speaking on a stage,sentence b cannot be said to be true or false,3,1.414
"a child, who is young, dressed for cold weather, is standing outside",a smiling boy in winter clothes is waving his mittened hands outside a building in the snow,sentence b cannot be said to be true or false,3.8,0.748
a man is playing a keyboard in a park,a person is playing the keyboard,sentence b is true,4.6,0.49
the man is walking along a track through the wilderness,a man is walking down a road,sentence b cannot be said to be true or false,4.2,0.748
a light brown dog is sprinting in the water,a tan dog is splashing in the water on the bank of a pond,sentence b cannot be said to be true or false,3.4,0.8
a young black child is waiting on the edge of a body of water near some buckets,a boy next to some buckets of rags is holding an object,sentence b cannot be said to be true or false,2.6,1.02
there is no man putting some cheese on a pizza,the man is sprinkling cheese on the pizza,sentence b is false,4.2,1.166
the white reindeer wearing dog ears is near a brown reindeer,the white dog wearing reindeer ears is near a brown dog,sentence b cannot be said to be true or false,3.8,1.47
a man is playing a trumpet brightly,the man is playing a guitar,sentence b is false,2.6,0.8
someone is putting ingredients into a wok,a person is cutting garlic into pieces with a knife,sentence b cannot be said to be true or false,2,0.894
"a person is standing in front of a rock with a rope, which is pink","a person is climbing a rock with a rope, which is pink",sentence b cannot be said to be true or false,4,0.632
a person is not playing the keyboard,a man is playing a keyboard,sentence b is false,3.4,1.356
there is no man fitting a silencer to a pistol,a man is fixing a silencer to a gun,sentence b is false,3.4,1.625
a cow is eating hay,a cow is eating grass,sentence b is false,4.6,0.49
two frightened boys are talking on the phone,two boys are talking on the phone,sentence b is true,4.6,0.49
a woman is cutting an octopus,the woman is cutting cooked octopus,sentence b cannot be said to be true or false,4,0.632
there are no children playing and waiting,three asian kids are dancing and a man is looking,sentence b cannot be said to be true or false,1.6,0.8
a horse is riding over a man,the man is riding a horse,sentence b cannot be said to be true or false,3.6,0.49
a cyclist on a yellow bike is airborne,a person on a yellow dirt bike is taking a jump,sentence b is true,4.4,0.49
the group of people is sitting in a room which is dim,the group of people is sitting in a dim room,sentence b is true,5,0
a kid is putting the guitar away,a kid is playing a guitar,sentence b is false,4,0.894
some men are resting,racers are running down a track,sentence b cannot be said to be true or false,1.2,0.4
the blonde girl with the pink top is happily smiling and wearing funny glasses with a large nose attached,the blonde girl with the pink top is smiling and wearing funny glasses with a large nose attached,sentence b is true,5,0
a young boy covered in grass is jumping near a fence made of wood,a young boy covered in grass is jumping near a wooden fence,sentence b is true,4.8,0.4
a boy is hitting a baseball,a family is watching a little boy who is hitting a baseball,sentence b cannot be said to be true or false,4,0
"there is no black, red, white and pink dress being worn by a woman","a woman is taking off a cloak, which is very large, and revealing an extravagant dress",sentence b cannot be said to be true or false,2.4,1.2
a man is playing an instrument,a man is riding a mechanical bull,sentence b cannot be said to be true or false,1,0
a boy is shredding a calendar,a boy is looking at a calendar,sentence b cannot be said to be true or false,3.4,1.356
a man is sitting and tables a comfortable discussion,a man wearing a dyed black shirt is sitting at the table and laughing,sentence b cannot be said to be true or false,2.2,1.166
a person with a green shirt is jumping onto the grass,a young boy is jumping in the air with his knees bent and arms spread,sentence b cannot be said to be true or false,2.8,1.166
"the woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",a woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,sentence b cannot be said to be true or false,3,0.894
there is no little kid playing football and falling into the grass,the football is between the feet of a boy who is lying on the grass,sentence b cannot be said to be true or false,3.6,0.8
the people are not walking on the road beside a beautiful waterfall,a waterfall is flowing into a shallow pool,sentence b cannot be said to be true or false,2.8,1.166
two men are carrying colorful baskets and blankets and walking near a building,two people are carrying colorful baskets and blankets and walking near a building,sentence b is true,4.8,0.4
some women are cheerfully dancing,some women are dancing,sentence b is true,4.4,0.49
the woman is squeezing juice out of a lemon,a woman is squeezing a lemon,sentence b is true,5,0
a man is not playing a guitar,a man is playing a guitar,sentence b is false,4.6,0.8
the person is riding the animal,the person is riding the horse,sentence b cannot be said to be true or false,4.6,0.49
there is no person peeling an onion,the person is slicing onions,sentence b is false,3.4,1.356
a person is dancing,a man is dancing on the road,sentence b cannot be said to be true or false,3.6,1.356
there are no women wearing bikinis on the sandy beach,two women are wearing bikinis on the sandy beach,sentence b is false,4,0.894
"a boy, who is wearing a blue coat, is being held by his father under an umbrella ",a boy under an umbrella is being held by his father who is wearing a blue coat,sentence b cannot be said to be true or false,4.2,0.748
a baby is sitting,a baby is crawling happily,sentence b is false,3,1.265
a woman is cooking a pork chop which is breaded,the woman is frying a breaded pork chop,sentence b cannot be said to be true or false,4.4,0.49
a person is not doing a trick on a slide,a person is doing a trick on a snowboard,sentence b cannot be said to be true or false,3,1.673
the young man is not rock climbing,a man in a purple hat is climbing a rocky wall with bare hands,sentence b cannot be said to be true or false,3.8,0.98
there are no men sitting at the table with four beer bottles,a man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles,sentence b is false,3.6,1.356
a woman and three men are denying a photo,a woman and three men are posing for a photo,sentence b cannot be said to be true or false,4.4,0.49
a white racing vehicle is driving through a puddle,a white rally car is throwing mud into the air and is approaching a bend in the track,sentence b cannot be said to be true or false,3.8,0.4
there is no man on a bicycle riding on the beach,a person is riding a bicycle in the sand beside the ocean,sentence b is true,4.6,0.8
a girl is speeding down a steep slide,a boy is wearing all black and is sliding down a blow up yellow slide,sentence b cannot be said to be true or false,2.6,1.625
five adults are sitting on a chair,five adults are sitting on stone steps,sentence b is false,4,0.632
some children are not playing on a playground,the boy and girl are playing on the outdoor gym,sentence b cannot be said to be true or false,3.6,0.49
a chubby faced boy is wearing dark glasses,a boy is wearing sunglasses,sentence b is true,4.6,0.49
a boy in blue is running towards a woman in blue,a young boy is playing in the park with his mother,sentence b cannot be said to be true or false,2.2,1.166
a paper plate is being cut by the man,a man is cutting a paper plate,sentence b is true,5,0
five kids are standing close together and one kid has a weapon,five children are standing in front of a wooden hut,sentence b cannot be said to be true or false,2.8,0.98
a horse is being ridden by a man,a man is riding a horse,sentence b is true,5,0
one man is eating some food,the man is eating,sentence b is true,4.5,0.5
two panda bears are lying together,two pandas are lying together,sentence b is true,5,0
there is no woman combing her hair,a woman is boiling shrimps,sentence b cannot be said to be true or false,1,0
one man is sitting steadily on the chair,"the girl, who is little, is combing her hair into a pony tail.",sentence b cannot be said to be true or false,1,0
someone is writing,someone is typing,sentence b cannot be said to be true or false,4.2,0.4
a lone bicyclist is putting down a bike,a bicyclist is holding a bike over his head in a group of people,sentence b is false,3.4,1.02
the adults and children are being grouped near an outdoor seating arrangement,adults and children standing and playing in front of steps near a wooded area,sentence b cannot be said to be true or false,3.2,1.166
a woman dressed in elegant clothing is inside a crowd of people and is looking up,an asian woman is holding a fur scarf,sentence b cannot be said to be true or false,1.4,0.8
a man is wearing a red jacket and standing beside a yellow canoe on some boulders with water in the background,a man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background,sentence b is true,5,0
a dog is walking along the snowdrift,a dog is walking along a snowdrift,sentence b is true,5,0
the man is drawing a gun,the man is aiming a gun,sentence b is false,4.2,0.4
the boy is checking a calendar,a boy is looking at a calendar,sentence b is true,4.8,0.4
a woman is slicing meat with a knife,a man is spreading dough,sentence b cannot be said to be true or false,1,0
the woman with a black hat is wearing sunglasses,a woman is wearing an egyptian headdress,sentence b cannot be said to be true or false,2,0.894
a boy in blue are sliding down a green slide,a woman is riding a horse,sentence b cannot be said to be true or false,1,0
there is no motorcyclist riding a motorbike along a roadway,a motorcyclist with a red helmet is riding a blue motorcycle down the road,sentence b is false,3.8,1.47
a sea turtle is not hunting for fish,the turtle is following the fish,sentence b cannot be said to be true or false,3.8,1.47
a skateboarder is jumping off a ramp,a man dressed in black is wearing inline skates and performing a trick on a rail,sentence b cannot be said to be true or false,3.2,0.98
the kitten isn't eagerly drinking some milk from the bowl,one small child is drinking water from the cup,sentence b cannot be said to be true or false,1.4,0.49
there is no man playing with a skull,the man is playing the guitar,sentence b cannot be said to be true or false,1.4,0.49
a person on a bike is riding on one wheel only,a man on a bicycle is riding on one wheel only,sentence b cannot be said to be true or false,4.4,0.49
a man and a woman are walking together through the city,a man and a woman are walking together through the woods,sentence b cannot be said to be true or false,3.8,0.4
no skateboarder is jumping in the air,a skateboarder is jumping in the air,sentence b is false,4.4,0.8
a person is tearing sheets,a man is cutting a paper,sentence b cannot be said to be true or false,3.2,1.327
men are cutting wood,some men are sawing,sentence b is true,4.2,0.748
"a woman, who is seated, is singing a song and playing the guitar",a woman on a rock is lying on a blanket and reading a book,sentence b is false,2,1.265
